date_time,amount,method
2026-04-10 11:41:33.228913,3200.00,BALANCE
2026-04-10 11:37:47.196445,2240.000,USDT
2026-04-10 11:22:49.579696,3200.00,BALANCE
2026-04-10 11:10:44.628797,2240.000,USDT
2026-04-10 10:46:51.174539,3200.00,card
2026-04-10 10:36:07.393063,3000.00,BALANCE
2026-04-10 10:25:43.467333,0.00,BALANCE
2026-04-10 10:16:28.500364,1445.0000,BTC
2026-04-10 10:15:59.737003,3000.00,card
2026-04-10 10:11:08.832598,3900.00,card
2026-04-10 10:00:28.41631,3000.00,transa
2026-04-10 09:30:09.846351,3200.00,card
2026-04-10 09:12:33.059293,3900.00,BALANCE
2026-04-09 22:02:40.138335,2100.000,USDT
2026-04-09 21:52:50.375743,3000.00,BALANCE
2026-04-09 21:25:56.90147,2380.000,USDT
2026-04-09 21:20:21.732279,2200.00,BALANCE
2026-04-09 21:05:44.810264,1750.000,USDT
2026-04-09 21:01:59.613624,3000.00,transa
2026-04-09 19:52:05.502117,2730.000,USDT
2026-04-09 19:29:04.94907,4000.00,BALANCE
2026-04-09 19:24:49.874191,3900.00,BALANCE
2026-04-09 19:01:52.658172,2730.000,USDT
2026-04-09 18:55:54.523549,1100.00,BALANCE
2026-04-09 18:37:38.26636,3200.00,card
2026-04-09 18:32:05.728726,3200.00,card
2026-04-09 18:27:48.365295,3000.00,card
2026-04-09 18:16:59.486494,3000.00,card
2026-04-09 18:10:14.985385,1900.00,BALANCE
2026-04-09 18:02:58.674976,1100.00,onlypays
2026-04-09 17:52:58.523599,2000.00,transa
2026-04-09 17:38:40.134625,3200.00,card
2026-04-09 17:36:44.149119,3000.00,BALANCE
2026-04-09 16:57:53.481461,0.00,BALANCE
2026-04-09 16:51:08.37115,2100.000,USDT
2026-04-09 16:41:23.862061,900.00,BALANCE
2026-04-09 16:35:43.091287,3200.00,card
2026-04-09 16:34:45.225287,2730.000,USDT
2026-04-09 16:32:31.256657,2900.00,card
2026-04-09 16:30:46.774341,1000.00,nirvana
2026-04-09 16:20:56.391978,3200.00,card
2026-04-09 16:14:02.593815,3000.00,card
2026-04-09 16:12:30.348232,3200.00,card
2026-04-09 15:57:19.258076,1000.00,BALANCE
2026-04-09 15:53:42.857937,2100.000,USDT
2026-04-09 15:50:46.346509,9800.000,USDT
2026-04-09 15:50:02.887388,2900.00,BALANCE
2026-04-09 15:41:44.195433,700.000,USDT
2026-04-09 14:41:11.899689,1900.00,BALANCE
2026-04-09 14:37:13.828075,1900.00,card
2026-04-09 14:31:53.84086,1960.000,USDT
2026-04-09 14:26:05.440599,3700.00,card
