date_time,amount,method
2026-04-10 15:00:26.428586,1000.00,BALANCE
2026-04-10 14:54:13.466901,4000.00,card
2026-04-10 14:34:07.965806,1900.00,BALANCE
2026-04-10 14:27:22.12741,3200.00,BALANCE
2026-04-10 14:11:38.879779,2500.00,BALANCE
2026-04-10 14:03:34.599233,4000.00,card
2026-04-10 13:50:29.79433,3000.00,card
2026-04-10 13:29:03.79683,1900.00,BALANCE
2026-04-10 13:27:50.033294,1700.00,BALANCE
2026-04-10 13:22:09.262798,4000.00,card
2026-04-10 12:58:18.895065,50.00,BALANCE
2026-04-10 12:52:19.45454,2600.00,card
2026-04-10 12:48:08.376145,4200.00,card
2026-04-10 12:40:17.197728,3900.00,card
2026-04-10 12:18:06.198009,4200.00,BALANCE
2026-04-10 12:14:13.510918,4000.00,card
2026-04-10 11:55:28.864589,7200.00,BALANCE
2026-04-10 11:45:55.462555,2800.000,USDT
2026-04-10 11:24:22.81908,4200.00,nirvana
2026-04-10 11:23:53.397006,4200.00,BALANCE
2026-04-10 11:23:36.226163,1900.00,BALANCE
2026-04-10 11:23:27.190371,3900.00,BALANCE
2026-04-10 11:22:37.53057,4200.00,BALANCE
2026-04-10 11:18:45.755284,0.00,BALANCE
2026-04-10 11:16:53.433521,0.00,BALANCE
2026-04-10 11:13:26.004169,3700.00,BALANCE
2026-04-10 11:13:00.49137,2900.00,card
2026-04-10 11:11:24.533687,2800.000,USDT
2026-04-10 11:04:30.721578,4200.00,card
2026-04-10 10:58:34.875406,4000.00,card
2026-04-10 10:54:23.789939,4000.00,BALANCE
2026-04-10 10:35:48.637811,0.00,BALANCE
2026-04-10 10:26:46.008889,3000.00,card
2026-04-10 09:57:54.896942,4000.00,card
2026-04-10 09:49:17.621847,3900.00,card
2026-04-10 09:48:36.669723,2900.00,card
2026-04-10 09:42:37.237723,2200.00,card
2026-04-10 09:39:39.90206,7200.00,card
2026-04-10 09:29:36.906339,4000.00,card
2026-04-10 09:25:31.844075,2900.00,BALANCE
2026-04-10 09:17:49.311217,2900.00,card
2026-04-10 09:01:47.94056,2000.00,BALANCE
2026-04-10 08:59:06.791647,4000.00,card
2026-04-10 08:50:44.990211,2900.00,card
2026-04-10 08:43:16.699235,4000.00,card
2026-04-10 07:42:55.417824,4000.00,card
2026-04-10 07:29:49.470234,4000.00,card
2026-04-10 07:17:12.132256,2900.00,card
2026-04-10 06:44:13.197038,2900.00,nirvana
2026-04-10 06:44:10.655158,4000.00,BALANCE
2026-04-10 06:27:38.732508,600.00,BALANCE
2026-04-10 03:32:04.818526,0.00,BALANCE
2026-04-10 01:10:14.644578,3900.00,card
2026-04-10 00:43:48.460435,4200.00,card
2026-04-09 21:51:20.376767,0.00,BALANCE
